"customerkey","cuatomer_name","gender","addressline1","datefirstpurchase","city","statename","regionname"
11000,"Jon V Yang","M","3761 N. 14th St","2020-01-19","Rockhampton","Queensland","Australia"
11001,"Eugene L Huang","M","2243 W St.","2020-01-15","Seaford","Victoria","Australia"
11002,"Ruben Torres","M","5844 Linden Land","2020-01-07","Hobart","Tasmania","Australia"
11003,"Christy Zhu","F","1825 Village Pl.","2019-12-29","North Ryde","New South Wales","Australia"
11004,"Elizabeth Johnson","F","7553 Harness Circle","2020-01-23","Wollongong","New South Wales","Australia"
11005,"Julio Ruiz","M","7305 Humphrey Drive","2019-12-30","East Brisbane","Queensland","Australia"
11006,"Janet G Alvarez","F","2612 Berry Dr","2020-01-24","Matraville","New South Wales","Australia"
11007,"Marco Mehta","M","942 Brook Street","2020-01-09","Warrnambool","Victoria","Australia"
11008,"Rob Verhoff","F","624 Peabody Road","2020-01-25","Bendigo","Victoria","Australia"
11009,"Shannon C Carlson","M","3839 Northgate Road","2020-01-27","Hervey Bay","Queensland","Australia"
11010,"Jacquelyn C Suarez","F","7800 Corrinne Court","2020-01-14","East Brisbane","Queensland","Australia"
11011,"Curtis Lu","M","1224 Shoenic","2019-12-30","East Brisbane","Queensland","Australia"
11012,"Lauren M Walker","F","4785 Scott Street","2022-03-16","Bremerton","Washington","United States"
11013,"Ian M Jenkins","M","7902 Hudson Ave.","2022-04-13","Lebanon","Oregon","United States"
11014,"Sydney Bennett","F","9011 Tank Drive","2022-03-23","Redmond","Washington","United States"
11015,"Chloe Young","F","244 Willow Pass Road","2022-01-18","Burbank","California","United States"
11016,"Wyatt L Hill","M","9666 Northridge Ct.","2022-02-09","Imperial Beach","California","United States"
11017,"Shannon Wang","F","7330 Saddlehill Lane","2020-01-12","Sunbury","Victoria","Australia"
11018,"Clarence D Rai","M","244 Rivewview","2020-01-17","Bendigo","Victoria","Australia"
11019,"Luke L Lal","M","7832 Landing Dr","2022-02-12","Langley","British Columbia","Canada"
11020,"Jordan C King","M","7156 Rose Dr.","2021-12-29","Metchosin","British Columbia","Canada"
11021,"Destiny Wilson","F","8148 W. Lake Dr.","2022-01-23","Beaverton","Oregon","United States"
11022,"Ethan G Zhang","M","1769 Nicholas Drive","2022-01-20","Bellingham","Washington","United States"
11023,"Seth M Edwards","M","4499 Valley Crest","2022-02-17","Bellflower","California","United States"
11024,"Russell Xie","M","8734 Oxford Place","2022-06-27","Concord","California","United States"
11025,"Alejandro Beck","M","2596 Franklin Canyon Road","2020-01-06","Hawthorne","Queensland","Australia"
11026,"Harold Sai","M","8211 Leeds Ct.","2020-01-23","Goulburn","New South Wales","Australia"
11027,"Jessie R Zhao","M","213 Valencia Place","2020-01-16","Warrnambool","Victoria","Australia"
11028,"Jill Jimenez","F","9111 Rose Ann Ave","2020-01-26","St. Leonards","New South Wales","Australia"
11029,"Jimmy L Moreno","M","6385 Mark Twain","2020-01-19","Bendigo","Victoria","Australia"
11030,"Bethany G Yuan","F","636 Vine Hill Way","2020-02-05","Cloverdale","South Australia","Australia"
11031,"Theresa G Ramos","F","6465 Detroit Ave.","2020-02-01","Matraville","New South Wales","Australia"
11032,"Denise Stone","F","626 Bentley Street","2020-02-18","Melbourne","Victoria","Australia"
11033,"Jaime Nath","M","5927 Rainbow Dr","2020-02-15","Milsons Point","New South Wales","Australia"
11034,"Ebony Gonzalez","F","5167 Condor Place","2020-02-01","North Sydney","New South Wales","Australia"
11035,"Wendy Dominguez","F","1873 Mt. Whitney Dr","2020-02-06","Cranbourne","Victoria","Australia"
11036,"Jennifer C Russell","F","3981 Augustine Drive","2022-01-22","National City","California","United States"
11037,"Chloe M Garcia","F","8915 Woodside Way","2022-01-20","Cliffside","British Columbia","Canada"
11038,"Diana F Hernandez","F","8357 Sandy Cove Lane","2020-02-07","Lavender Bay","New South Wales","Australia"
11039,"Marc J Martin","M","9353 Creekside Dr.","2020-02-07","Wollongong","New South Wales","Australia"
11040,"Jesse Murphy","M","3350 Kingswood Circle","2022-04-03","Tacoma","Washington","United States"
11041,"Amanda M Carter","F","5826 Escobar","2022-01-14","Glendale","California","United States"
11042,"Megan J Sanchez","F","1397 Paraiso Ct.","2022-01-21","Los Angeles","California","United States"
11043,"Nathan M Simmons","M","1170 Shaw Rd","2022-05-08","Glendale","California","United States"
11044,"Adam L Flores","M","6935 Candle Dr","2020-02-28","Hervey Bay","Queensland","Australia"
11045,"Leonard G Nara","M","7466 La Vista Ave.","2022-04-10","Matraville","New South Wales","Australia"
11046,"Christine Yuan","F","2356 Orange St","2020-02-06","Lavender Bay","New South Wales","Australia"
11047,"Jaclyn D Lu","F","2812 Mazatlan","2020-02-03","Geelong","Victoria","Australia"
11048,"Jeremy Powell","M","1803 Potomac Dr.","2020-02-10","Sunbury","Victoria","Australia"
11049,"Carol C Rai","F","6064 Madrid","2022-03-09","Chula Vista","California","United States"
11050,"Alan Zheng","M","2741 Gainborough Dr.","2020-02-20","Hobart","Tasmania","Australia"
11051,"Daniel Johnson","M","8085 Sunnyvale Avenue","2022-12-29","Caloundra","Queensland","Australia"
11052,"Heidi Lopez","F","2514 Via Cordona","2020-02-17","Matraville","New South Wales","Australia"
11053,"Ana E Price","F","1660 Stonyhill Circle","2022-01-17","San Diego","California","United States"
11054,"Deanna Munoz","F","5825 B Way","2020-02-03","Geelong","Victoria","Australia"
11055,"Gilbert Raje","M","8811 The Trees Dr.","2020-01-31","East Brisbane","Queensland","Australia"
11056,"Michele L Nath","F","5464 Janin Pl.","2020-02-26","Newcastle","New South Wales","Australia"
11057,"Carl J Andersen","M","6930 Lake Nadine Place","2020-02-22","Lane Cove","New South Wales","Australia"
11058,"Marc Diaz","M","6645 Sinaloa","2020-03-09","Findon","South Australia","Australia"
11059,"Ashlee J Andersen","F","8255 Highland Road","2022-02-18","Townsville","Queensland","Australia"
11060,"Jon L Zhou","M","6574 Hemlock Ave.","2020-03-19","Warrnambool","Victoria","Australia"
11061,"Todd M Gao","M","8808 Geneva Ave","2020-03-13","Gold Coast","Queensland","Australia"
11062,"Noah D Powell","M","9794 Marion Ct","2022-01-07","Portland","Oregon","United States"
11063,"Angela Murphy","F","4927 Virgil Street","2022-01-12","Redmond","Washington","United States"
11064,"Chase Reed","M","2721 Alexander Pl.","2022-01-25","Downey","California","United States"
11065,"Jessica Henderson","F","9343 Ironwood Way","2022-02-10","La Jolla","California","United States"
11066,"Grace T Butler","F","4739 Garden Ave.","2022-05-31","Lebanon","Oregon","United States"
11067,"Caleb F Carter","M","9563 Pennsylvania Blvd.","2022-08-18","Port Orchard","Washington","United States"
